sen_str,swapped_sen_str,leaf_rule
ꞽ:nč̣ (⸗ꞽ) ḥr ⸗k Mn-wr ꞽm(.ꞽ) ꜥ.(w)t Ḥr.w,(⸗ꞽ) ꞽ:nč̣ ḥr ⸗k Mn-wr ꞽm(.ꞽ) ꜥ.(w)t Ḥr.w,[0] -> [12] -> [14] -> [15]
ꜥnḫ.t ⸗f ꞽm ꜥnḫ Wnꞽś ꞽm,ꜥnḫ.t ⸗f ꞽm Wnꞽś ꜥnḫ ꞽm,[0] -> [12] -> [14] -> [15]
ꞽw nč̣.n św Wnꞽś m ꜥw ꞽr.w nn ꞽ[r] [⸗f] nḥm.w šb(.w) ⸗f m ꜥw ⸗f śk św wn(.w) nḥm.w mś.wt ⸗f m ꜥw ⸗f śk ś(ꞽ) wn.t(ꞽ) nḥm(.w) čꜣw m [fnč̣] [⸗f] ś:ꜥḥꜥ.w hrw ⸗f n(.ꞽ) ꜥnḫ,ꞽw Wnꞽś nč̣.n św m ꜥw ꞽr.w nn ꞽ[r] [⸗f] nḥm.w šb(.w) ⸗f m ꜥw ⸗f śk św wn(.w) nḥm.w mś.wt ⸗f m ꜥw ⸗f śk ś(ꞽ) wn.t(ꞽ) nḥm(.w) čꜣw m [fnč̣] [⸗f] ś:ꜥḥꜥ.w hrw ⸗f n(.ꞽ) ꜥnḫ,[0] -> [12] -> [14] -> [15]
ꞽr tm ⸗k ꞽr(.w) ś.t n Wnꞽś ꞽr.kꜣ Wnꞽś fꜣ.t m ꞽt(ꞽ) ⸗f Gbb,ꞽr tm ⸗k ꞽr(.w) ś.t n Wnꞽś Wnꞽś ꞽr.kꜣ fꜣ.t m ꞽt(ꞽ) ⸗f Gbb,[0] -> [12] -> [14] -> [15]
č̣(ṭ) mṭw ḫr ḥr r ḥr mꜣ.n ḥr ḥr,č̣(ṭ) mṭw ḫr ḥr r ḥr ḥr mꜣ.n ḥr,[0] -> [12] -> [14] -> [15]
šm n ⸗k wč̣ ⸗k mṭw n ꞽꜣ.(w)t Śtẖ,šm n ⸗k ⸗k wč̣ mṭw n ꞽꜣ.(w)t Śtẖ,[0] -> [12] -> [14] -> [15]
ꞽr Wnꞽś ꞽ:č̣ṭ.t ⸗f n Wnꞽś |,ꞽr Wnꞽś ⸗f ꞽ:č̣ṭ.t n Wnꞽś |,[0] -> [12] -> [14] -> [15]
Ḥr.w(ꞽ) ḫnt.(ꞽ)w(ꞽ) pr(.w) nb č̣fꜣ(.w) Wr m Ꞽwn.w č̣i̯ ⸗k tʾ n Ttꞽ č̣i̯ ⸗k ḥ(n)ḳ.t n Ttꞽ ś:(w)ꜣč̣ ⸗k Ttꞽ ś:(w)ꜣč̣ ⸗k wṭḥ.w n(.ꞽ) Ttꞽ ś:(w)ꜣč̣ ⸗k nm.t n.t Ttꞽ,Ḥr.w(ꞽ) ḫnt.(ꞽ)w(ꞽ) pr(.w) nb č̣fꜣ(.w) Wr m Ꞽwn.w č̣i̯ ⸗k tʾ n Ttꞽ č̣i̯ ⸗k ḥ(n)ḳ.t n Ttꞽ ś:(w)ꜣč̣ ⸗k Ttꞽ ⸗k ś:(w)ꜣč̣ wṭḥ.w n(.ꞽ) Ttꞽ ś:(w)ꜣč̣ ⸗k nm.t n.t Ttꞽ,[0] -> [12] -> [14] -> [15]
[ḳꜥḥ] [ꜥb] ⸗k pw ꞽmn.t(ꞽ) n Wnꞽś ś:wꜣ Wnꞽś,[ḳꜥḥ] [ꜥb] ⸗k pw ꞽmn.t(ꞽ) n Wnꞽś Wnꞽś ś:wꜣ,[0] -> [12] -> [14] -> [15]
mꜣ.n ⸗n mꜣ(w).t ꞽ.n ⸗śn nčr(.w) pꜣw.t(ꞽ)w,mꜣ.n ⸗n mꜣ(w).t ⸗śn nčr(.w) pꜣw.t(ꞽ)w ꞽ.n,[0] -> [12] -> [14] -> [15]
Wśr(.w) Wnꞽś m n ⸗k ꞽr.t Ḥr.w ꞽsꜣ ⸗k ꞽr ⸗ś | m(ꞽ)s.t ḥnw.t 1,Wśr(.w) Wnꞽś m n ⸗k ꞽr.t Ḥr.w ⸗k ꞽsꜣ ꞽr ⸗ś | m(ꞽ)s.t ḥnw.t 1,[0] -> [12] -> [14] -> [15]
sꜣ.n n ⸗k Ꜣś.t ḥnꜥ Nb(.t) ḥw.t m Sꜣ.wt(ꞽ) n nb ⸗śn ꞽm ⸗k [m] [rn] [⸗k] n(.ꞽ) nb Sꜣ.wt(ꞽ) n nčr ⸗śn ꞽm ⸗k m rn ⸗k n(.ꞽ) nčr ṭwꜣ ⸗śn čw ꞽm ⸗k ḥr(.w) ꞽr ⸗śn m rn ⸗k n(.ꞽ) Ṭwꜣ wr ꞽꜥb ⸗śn čw ꞽm ⸗k č̣nṭ m rn ⸗k n(.ꞽ) Č̣nṭr.w,sꜣ.n n ⸗k Ꜣś.t ḥnꜥ Nb(.t) ḥw.t m Sꜣ.wt(ꞽ) n nb ⸗śn ꞽm ⸗k [m] [rn] [⸗k] n(.ꞽ) nb Sꜣ.wt(ꞽ) n nčr ⸗śn ꞽm ⸗k m rn ⸗k n(.ꞽ) nčr ⸗śn ṭwꜣ čw ꞽm ⸗k ḥr(.w) ꞽr ⸗śn m rn ⸗k n(.ꞽ) Ṭwꜣ wr ꞽꜥb ⸗śn čw ꞽm ⸗k č̣nṭ m rn ⸗k n(.ꞽ) Č̣nṭr.w,[0] -> [12] -> [14] -> [15]
nꞽ śk ⸗f nꞽ śk Wnꞽś pn,nꞽ śk ⸗f nꞽ Wnꞽś pn śk,[0] -> [12] -> [14] -> [15]
[śb]ḫ.n ⸗k ꜥw.w(ꞽ) ⸗k ḥꜣ ⸗f ḥꜣ ⸗f,⸗k [śb]ḫ.n ꜥw.w(ꞽ) ⸗k ḥꜣ ⸗f ḥꜣ ⸗f,[0] -> [12] -> [14] -> [15]
kf.n Nw.t wr.t rmn(.wꞽ) ⸗ś n Wnꞽś,Nw.t wr.t kf.n rmn(.wꞽ) ⸗ś n Wnꞽś,[0] -> [12] -> [14] -> [15]
ꞽꞽ.n Wnꞽś m ḫt ꞽt(ꞽ) ⸗f,Wnꞽś ꞽꞽ.n m ḫt ꞽt(ꞽ) ⸗f,[0] -> [12] -> [14] -> [15]
č̣(ṭ) mṭw nfr w(ꞽ) ꜣ mꜣꞽ.w Ttꞽ śšṭ.ꞽ m wp.t Rꜥw šnč̣.wt ⸗f ḥr ⸗f m Ḥw.t Ḥr.w šw.t ⸗f m šw.t bꞽk pr ⸗f r ⸗f ꞽr p.t m m śn.w ⸗f nčr(.w),č̣(ṭ) mṭw nfr w(ꞽ) ꜣ mꜣꞽ.w Ttꞽ śšṭ.ꞽ m wp.t Rꜥw šnč̣.wt ⸗f ḥr ⸗f m Ḥw.t Ḥr.w m šw.t šw.t ⸗f bꞽk pr ⸗f r ⸗f ꞽr p.t m m śn.w ⸗f nčr(.w),[0] -> [1] -> [11]
Ꞽwn.w(y) m Wnꞽś Rꜥw Ꞽwn.w(y) ⸗k m Wnꞽś Rꜥw,Ꞽwn.w(y) m Wnꞽś Rꜥw m Wnꞽś Ꞽwn.w(y) ⸗k Rꜥw,[0] -> [1] -> [11]
ꞽw Wnꞽś ꞽm.wt(ꞽ) ⸗śn,ꞽw ꞽm.wt(ꞽ) ⸗śn Wnꞽś,[0] -> [1] -> [11]
č̣(ṭ) mṭw (ꞽ)ḫ.t n (⸗ꞽ) (Ꞽ)tm(.w),č̣(ṭ) mṭw n (⸗ꞽ) (ꞽ)ḫ.t (Ꞽ)tm(.w),[0] -> [1] -> [11]
ꞽw wśr ⸗f m ꜣḫ.t mr (Ꞽ)tm(.w) ꞽt(ꞽ) ⸗f mś św,ꞽw m ꜣḫ.t wśr ⸗f mr (Ꞽ)tm(.w) ꞽt(ꞽ) ⸗f mś św,[0] -> [1] -> [11]
nꞽ śrḫ.w ꜥnḫ ꞽr Wnꞽś,nꞽ ꞽr Wnꞽś śrḫ.w ꜥnḫ,[0] -> [1] -> [11]
hꜣ Wnꞽś ꜥw kꜣ ⸗k m ḫt ⸗k,hꜣ Wnꞽś m ḫt ⸗k ꜥw kꜣ ⸗k,[0] -> [1] -> [11]
ꞽw pꜣč̣ n(.ꞽ) Ttꞽ pn r ḥr(.w) ḥnꜥ Rꜥw,ꞽw r ḥr(.w) pꜣč̣ n(.ꞽ) Ttꞽ pn ḥnꜥ Rꜥw,[0] -> [1] -> [11]
nꞽ Wnꞽś pn ṭp nčr(.w) tḫtḫ,nꞽ ṭp nčr(.w) Wnꞽś pn tḫtḫ,[0] -> [1] -> [11]
ḫfꜥ ⸗śn č̣i̯ ⸗śn n ⸗f ꜣm ⸗śn č̣i̯ ⸗śn n ⸗f ꞽtꞽ bṭ.t tʾ ḥ(n)ḳ.t n n.tt n Wnꞽś ꞽn ꞽt(ꞽ) ⸗f rč̣ n ⸗f ꞽn Rꜥw rč̣ n ⸗f ꞽtꞽ bṭ.t tʾ ḥ(n)ḳ.t n n.tt śwt ꞽś kꜣ wr ḥ(w) Kns.t n n.tt Wnꞽś ꞽś ꞽr(.ꞽ) ṭꞽ.t ꞽš.tt m ḥw.t,ḫfꜥ ⸗śn č̣i̯ ⸗śn n ⸗f ꜣm ⸗śn č̣i̯ ⸗śn n ⸗f ꞽtꞽ bṭ.t tʾ ḥ(n)ḳ.t n n.tt n Wnꞽś ꞽn ꞽt(ꞽ) ⸗f rč̣ n ⸗f ꞽn Rꜥw rč̣ n ⸗f ꞽtꞽ bṭ.t tʾ ḥ(n)ḳ.t n n.tt śwt ꞽś kꜣ wr ḥ(w) Kns.t n n.tt ꞽś ꞽr(.ꞽ) Wnꞽś ṭꞽ.t ꞽš.tt m ḥw.t,[0] -> [1] -> [11]
č̣(ṭ) mṭw ḥr (⸗ꞽ) ḥr ⸗k ꞽm(.ꞽ) čpḥ.t ⸗f,č̣(ṭ) mṭw ḥr ⸗k ḥr (⸗ꞽ) ꞽm(.ꞽ) čpḥ.t ⸗f,[0] -> [1] -> [11]
č̣(ṭ) mṭw Ttꞽ pw kꜣ pśč̣.t nb ꞽš.tt 5 ꞽš.t 3 r p.t ꞽš.t 2 r tꜣ,č̣(ṭ) mṭw Ttꞽ pw kꜣ pśč̣.t nb ꞽš.tt 5 ꞽš.t 3 r p.t r tꜣ ꞽš.t 2,[0] -> [1] -> [11]
nꞽ śrḫ.w ng(ꜣ) ꞽr Wnꞽś,nꞽ ꞽr Wnꞽś śrḫ.w ng(ꜣ),[0] -> [1] -> [11]
nḫꞽ n Ḥr.w ẖrṭ nḫn č̣bꜥ ⸗f m rʾ ⸗f,nḫꞽ n Ḥr.w ẖrṭ nḫn m rʾ č̣bꜥ ⸗f ⸗f,[0] -> [1] -> [11]
nꞽ św ṭp nčr(.w) tḫtḫ,nꞽ ṭp nčr(.w) św tḫtḫ,[0] -> [1] -> [11]
č̣(ṭ) mṭw Ꞽwn.w(y) m Wnꞽś nčr Ꞽwn.w(y) ⸗k m Wnꞽś nčr,č̣(ṭ) mṭw Ꞽwn.w(y) m Wnꞽś nčr m Wnꞽś Ꞽwn.w(y) ⸗k nčr,[0] -> [1] -> [11]
ꞽw ḫmt.t r p.t ḫr Rꜥw,ꞽw r p.t ḫmt.t ḫr Rꜥw,[0] -> [1] -> [11]
č̣r(.w) ⸗f pꞽ č̣.t{n} m śꜥḥ ⸗f pn n(.ꞽ) mrr ⸗f ꞽrr ⸗f mśč̣č̣ ⸗f nꞽ ꞽr.n ⸗f ꞽm(.ꞽ) č̣r.w ꜣḫ.t č̣.t r nḥḥ śk bꜣ ⸗śn m ẖ.t Wnꞽś ꜣḫ(.w) ⸗śn ḫr Wnꞽś m ḥꜣ(.w) (ꞽ)ḫ.t ⸗f r nčr(.w) ḳrr.t(ꞽ) n Wnꞽś m ḳś(.w) ⸗śn śk bꜣ ⸗śn ḫr Wnꞽś šw.wt ⸗śn m ꜥw ꞽr.(ꞽ)w ⸗śn,č̣r(.w) ⸗f pꞽ č̣.t{n} m śꜥḥ ⸗f pn n(.ꞽ) mrr ⸗f ꞽrr ⸗f mśč̣č̣ ⸗f nꞽ ꞽr.n ⸗f ꞽm(.ꞽ) č̣r.w ꜣḫ.t č̣.t r nḥḥ śk bꜣ ⸗śn m ẖ.t Wnꞽś ꜣḫ(.w) ⸗śn ḫr Wnꞽś m ḥꜣ(.w) (ꞽ)ḫ.t ⸗f r nčr(.w) ḳrr.t(ꞽ) n Wnꞽś m ḳś(.w) ⸗śn śk bꜣ ⸗śn ḫr Wnꞽś m ꜥw ꞽr.(ꞽ)w šw.wt ⸗śn ⸗śn,[0] -> [1] -> [11]
ꞽw ꞽr.t ⸗f m nḫt ⸗f,ꞽw m nḫt ꞽr.t ⸗f ⸗f,[0] -> [1] -> [11]
ꞽw ḥr.(ꞽ)w ꞽb ⸗śn n mšr.wt ⸗f,ꞽw n mšr.wt ḥr.(ꞽ)w ꞽb ⸗śn ⸗f,[0] -> [1] -> [11]
ꜣw ꞽb n(.ꞽ) nčr(.w) m Ttꞽ č̣r mꜣꜣ ⸗śn Ttꞽ ꞽ:rnp.y śk śn.(w)t n ꞽꜥ.w Ttꞽ č̣nꞽ.t n mśw.t Ttꞽ,ꜣw ꞽb n(.ꞽ) nčr(.w) m Ttꞽ č̣r mꜣꜣ ⸗śn Ttꞽ ꞽ:rnp.y śk n ꞽꜥ.w śn.(w)t Ttꞽ č̣nꞽ.t n mśw.t Ttꞽ,[0] -> [1] -> [11]
nč̣r čw Ttꞽ ḥr śṭ ⸗k ḫmꜥ čw Ttꞽ ḥr wbn.w ⸗k ꞽr ⸗k prꞽ.w wr.t m ḫt ⸗k wr.t ṭp ꜥw.w(ꞽ) ⸗k,nč̣r čw Ttꞽ ḥr śṭ ⸗k ḫmꜥ čw Ttꞽ ḥr wbn.w ⸗k ꞽr ⸗k prꞽ.w m ḫt ⸗k wr.t wr.t ṭp ꜥw.w(ꞽ) ⸗k,[0] -> [1] -> [11]
č̣(ṭ) mṭw mw n.(ꞽ)w Ttꞽ m p.t čꜣ(.w) n.(ꞽ)w Ttꞽ m tꜣ sk ꞽb,č̣(ṭ) mṭw m p.t mw n.(ꞽ)w Ttꞽ čꜣ(.w) n.(ꞽ)w Ttꞽ m tꜣ sk ꞽb,[0] -> [1] -> [11]
č̣(ṭ) mṭw (ꞽ)ḫ.t n (⸗ꞽ) śšm (ꞽ)ḫ.t n (⸗ꞽ) śšm (ꞽ)ḫ.t ꞽm(.ꞽ) ꞽr.t Rꜥw (ꞽ)ḫ.t n (⸗ꞽ) ꜥḳ wꞽꜣ ꞽm(.ꞽ) ꞽr.t nčr,č̣(ṭ) mṭw (ꞽ)ḫ.t n (⸗ꞽ) śšm (ꞽ)ḫ.t n (⸗ꞽ) śšm (ꞽ)ḫ.t ꞽm(.ꞽ) ꞽr.t Rꜥw n (⸗ꞽ) (ꞽ)ḫ.t ꜥḳ wꞽꜣ ꞽm(.ꞽ) ꞽr.t nčr,[0] -> [1] -> [11]
sꞽ(.w) Wśr(.w) ḥnꜥ kꜣ ⸗f,sꞽ(.w) ḥnꜥ kꜣ Wśr(.w) ⸗f,[0] -> [1] -> [11]
nnꞽ mw.t ⸗f nnꞽ mw.t ⸗f ꞽ(w) ⸗k rr m nn,nnꞽ mw.t ⸗f nnꞽ mw.t ⸗f ꞽ(w) rr m nn ⸗k,[0] -> [1] -> [11]
ꞽw nśr n(.ꞽ) hh n(.ꞽ) ꜣḫ.t ⸗f m Rnn.wtt ṭp.t ⸗f,ꞽw m Rnn.wtt nśr n(.ꞽ) hh n(.ꞽ) ꜣḫ.t ⸗f ṭp.t ⸗f,[0] -> [1] -> [11]
čs čw ḫns ⸗k m ꜥb ꜣḫ(.w) č̣nḥ(.wꞽ) ⸗k m bꞽk sꞽšꞽ ⸗k m śbꜣ,čs čw ḫns ⸗k m ꜥb ꜣḫ(.w) č̣nḥ(.wꞽ) ⸗k m bꞽk m śbꜣ sꞽšꞽ ⸗k,[0] -> [1] -> [11]
ꞽw Wnꞽś ꞽr bw ẖr(.ꞽ) Skr ḫnt(.ꞽ) Pč̣.w šꞽ,ꞽw ꞽr bw Wnꞽś ẖr(.ꞽ) Skr ḫnt(.ꞽ) Pč̣.w šꞽ,[0] -> [1] -> [11]
Ttꞽ pw ḥm Ḥr.w ẖrṭ nḫn č̣bꜥ ⸗f m rʾ ⸗f,Ttꞽ pw ḥm Ḥr.w ẖrṭ nḫn m rʾ č̣bꜥ ⸗f ⸗f,[0] -> [1] -> [11]
ꜣḫ ꞽr p.t šꜣ.t ꞽr tꜣ,ꜣḫ ꞽr p.t ꞽr tꜣ šꜣ.t,[0] -> [1] -> [11]
ꞽw Wnꞽś r p.t ꞽw Wnꞽś r p.t m čꜣw m čꜣw,ꞽw r p.t Wnꞽś ꞽw Wnꞽś r p.t m čꜣw m čꜣw,[0] -> [1] -> [11]
wꜣḥ.n Ḥw śmꜣ ⸗f n Ttꞽ č̣ꜣ Ttꞽ mr ⸗f č̣.t ⸗f m ḫt ⸗f,wꜣḥ.n Ḥw śmꜣ ⸗f n Ttꞽ č̣ꜣ Ttꞽ mr ⸗f m ḫt ⸗f č̣.t ⸗f,[0] -> [1] -> [11]
č̣(ṭ) mṭw ḥtś(.wꞽ) ḥtś(.wꞽ) n č̣mꜥ.w(ꞽ) sp 2 tʾ ꞽś tꞽ,č̣(ṭ) mṭw n č̣mꜥ.w(ꞽ) ḥtś(.wꞽ) ḥtś(.wꞽ) sp 2 tʾ ꞽś tꞽ,[0] -> [1] -> [11]
č̣(ṭ) mṭw nšf(.wꞽ) ⸗k m tꜣ,č̣(ṭ) mṭw m tꜣ nšf(.wꞽ) ⸗k,[0] -> [1] -> [11]
č̣(ṭ) mṭw tʾ n(.ꞽ) ꞽt(ꞽ) ⸗k n ⸗k Ꞽkꞽ-nhy tʾ ⸗k ntk n ꞽt(ꞽ) ⸗k n ⸗k Ꞽk(ꞽ)-nhy,č̣(ṭ) mṭw n ⸗k tʾ n(.ꞽ) ꞽt(ꞽ) ⸗k Ꞽkꞽ-nhy tʾ ⸗k ntk n ꞽt(ꞽ) ⸗k n ⸗k Ꞽk(ꞽ)-nhy,[0] -> [1] -> [11]
sꜣ.n n ⸗k Ꜣś.t ḥnꜥ Nb(.t) ḥw.t m Sꜣ.wt(ꞽ) n nb ⸗śn ꞽm ⸗k [m] [rn] [⸗k] n(.ꞽ) nb Sꜣ.wt(ꞽ) n nčr ⸗śn ꞽm ⸗k m rn ⸗k n(.ꞽ) nčr ṭwꜣ ⸗śn čw ꞽm ⸗k ḥr(.w) ꞽr ⸗śn m rn ⸗k n(.ꞽ) Ṭwꜣ wr ꞽꜥb ⸗śn čw ꞽm ⸗k č̣nṭ m rn ⸗k n(.ꞽ) Č̣nṭr.w,sꜣ.n n ⸗k Ꜣś.t ḥnꜥ Nb(.t) ḥw.t m Sꜣ.wt(ꞽ) n nb ⸗śn ꞽm ⸗k [m] [rn] [⸗k] n(.ꞽ) nb Sꜣ.wt(ꞽ) n ꞽm ⸗k nčr ⸗śn m rn ⸗k n(.ꞽ) nčr ṭwꜣ ⸗śn čw ꞽm ⸗k ḥr(.w) ꞽr ⸗śn m rn ⸗k n(.ꞽ) Ṭwꜣ wr ꞽꜥb ⸗śn čw ꞽm ⸗k č̣nṭ m rn ⸗k n(.ꞽ) Č̣nṭr.w,[0] -> [1] -> [11]
[nꞽ] bꞽꜣ ꞽm ⸗śn m ꜥw ⸗f,[nꞽ] ꞽm ⸗śn bꞽꜣ m ꜥw ⸗f,[0] -> [1] -> [11]
ꞽw nčr(.w) ⸗f ṭp ⸗f,ꞽw ṭp ⸗f nčr(.w) ⸗f,[0] -> [1] -> [11]
č̣(ṭ) mṭw nfr w(ꞽ) ꜣ mꜣ.w ḥtp w(ꞽ) ꜣ pt(r) ꞽ.n ⸗śn ꞽn nčr(.w) pr.t r ⸗f nčr pn ꞽr p.t pr.t r ⸗f Wnꞽś r p.t bꜣ(.w) ⸗f ṭp ⸗f šꜥ.t ⸗f r gś(.wꞽ) ⸗f ḥkꜣ(.w) ⸗f ṭp rṭ(.wꞽ) ⸗f,č̣(ṭ) mṭw nfr w(ꞽ) ꜣ mꜣ.w ḥtp w(ꞽ) ꜣ pt(r) ꞽ.n ⸗śn ꞽn nčr(.w) pr.t r ⸗f nčr pn ꞽr p.t pr.t r ⸗f Wnꞽś r p.t bꜣ(.w) ⸗f ṭp ⸗f šꜥ.t ⸗f r gś(.wꞽ) ⸗f ṭp rṭ(.wꞽ) ⸗f ḥkꜣ(.w) ⸗f,[0] -> [1] -> [11]
nꞽ čw ꞽm ⸗śn,nꞽ ꞽm ⸗śn čw,[0] -> [1] -> [11]
č̣(ṭ) mṭw nfr w(ꞽ) ꜣ mꜣ.w ḥtp w(ꞽ) ꜣ pt(r) ꞽ.n ⸗śn ꞽn nčr(.w) pr.t r ⸗f nčr pn ꞽr p.t pr.t r ⸗f Wnꞽś r p.t bꜣ(.w) ⸗f ṭp ⸗f šꜥ.t ⸗f r gś(.wꞽ) ⸗f ḥkꜣ(.w) ⸗f ṭp rṭ(.wꞽ) ⸗f,č̣(ṭ) mṭw nfr w(ꞽ) ꜣ mꜣ.w ḥtp w(ꞽ) ꜣ pt(r) ꞽ.n ⸗śn ꞽn nčr(.w) pr.t r ⸗f nčr pn ꞽr p.t pr.t r ⸗f Wnꞽś r p.t bꜣ(.w) ⸗f ṭp ⸗f r gś(.wꞽ) ⸗f šꜥ.t ⸗f ḥkꜣ(.w) ⸗f ṭp rṭ(.wꞽ) ⸗f,[0] -> [1] -> [11]
č̣(ṭ) mṭw ẖnn.w m p.t,č̣(ṭ) mṭw m p.t ẖnn.w,[0] -> [1] -> [11]
čḥnn t(ꞽ) čḥnn t(ꞽ) ꞽḫ.t n (⸗ꞽ) śšm(.w),čḥnn t(ꞽ) čḥnn t(ꞽ) n (⸗ꞽ) ꞽḫ.t śšm(.w),[0] -> [1] -> [11]
č̣(ṭ) mṭw ḥꜣ ⸗k ng(ꜣ.w) ngꜣ č̣bꜥ(.w) Ꜣkr m wp.t ⸗f ꞽ:ḫr sbn |,č̣(ṭ) mṭw ḥꜣ ⸗k ng(ꜣ.w) ngꜣ m wp.t č̣bꜥ(.w) Ꜣkr ⸗f ꞽ:ḫr sbn |,[0] -> [1] -> [11]
nꞽ śrḫ.w m(w)t ꞽr Wnꞽś,nꞽ ꞽr Wnꞽś śrḫ.w m(w)t,[0] -> [1] -> [11]
č̣(ṭ) mṭw mw ⸗k r p.t ḫꜣ(.w) ⸗k r tꜣ Ꞽśy ḥꜣ,č̣(ṭ) mṭw mw ⸗k r p.t r tꜣ ḫꜣ(.w) ⸗k Ꞽśy ḥꜣ,[0] -> [1] -> [11]
č̣(ṭ) mṭw mw ⸗k r p.t ḫꜣ(.w) ⸗k r tꜣ Ꞽśy ḥꜣ,č̣(ṭ) mṭw r p.t mw ⸗k ḫꜣ(.w) ⸗k r tꜣ Ꞽśy ḥꜣ,[0] -> [1] -> [11]
č̣(ṭ) mṭw pꜣ.t ⸗k n ⸗k Nꞽ.w ḥnꜥ Nn.t mẖnm.tꞽ [nčr(.w)] šnm.tꞽ nčr(.w) m šw ⸗śn,č̣(ṭ) mṭw n ⸗k pꜣ.t ⸗k Nꞽ.w ḥnꜥ Nn.t mẖnm.tꞽ [nčr(.w)] šnm.tꞽ nčr(.w) m šw ⸗śn,[0] -> [1] -> [11]
ḥms ḥr ḫnṭ Wśr(.w) ꜥbꜣ ⸗k m ꜥw ⸗k wč̣ ⸗k mṭw n ꜥnḫ.w mkś nḥb.t ⸗k m ꜥw ⸗k wč̣ <⸗k> mṭw n štꜣ.w ś.(w)t,ḥms ḥr ḫnṭ Wśr(.w) ꜥbꜣ ⸗k m ꜥw ⸗k wč̣ ⸗k mṭw n ꜥnḫ.w m ꜥw mkś nḥb.t ⸗k ⸗k wč̣ <⸗k> mṭw n štꜣ.w ś.(w)t,[0] -> [1] -> [11]
nꞽ ḥm.ꞽ ꞽm ⸗śn fꜣ ⸗śn čw,nꞽ ꞽm ⸗śn ḥm.ꞽ fꜣ ⸗śn čw,[0] -> [1] -> [11]
ꞽw Wnꞽś m nn ḫꜥ(.w) ḫꜥ(.w) ꞽ:mn(.w) ꞽ:mn(.w),ꞽw m nn Wnꞽś ḫꜥ(.w) ḫꜥ(.w) ꞽ:mn(.w) ꞽ:mn(.w),[0] -> [1] -> [11]
č̣(ṭ) mṭw ḥḳr Ttꞽ m ꜥw Šw ꞽb.t Ttꞽ m ꜥw Tfnw.t,č̣(ṭ) mṭw m ꜥw Šw ḥḳr Ttꞽ ꞽb.t Ttꞽ m ꜥw Tfnw.t,[0] -> [1] -> [11]
pr.y (ꞽ)r ⸗f Wnꞽś r p.t ḫr ⸗k Rꜥw ḥr n(.ꞽ) Wnꞽś m bꞽk(.w) č̣nḥ(.w) Wnꞽś m ꜣpṭ(.w) ꜥn.(w)t ⸗f m wḫꜣ.w Ꜣtf.t,pr.y (ꞽ)r ⸗f Wnꞽś r p.t ḫr ⸗k Rꜥw m bꞽk(.w) ḥr n(.ꞽ) Wnꞽś č̣nḥ(.w) Wnꞽś m ꜣpṭ(.w) ꜥn.(w)t ⸗f m wḫꜣ.w Ꜣtf.t,[0] -> [1] -> [11]
wč̣ꜥ Wnꞽś mṭw m mḥ.t wr.t ꞽm.(w)t(ꞽ) ẖnn.w(ꞽ) śk wśr(.w) ⸗f m wśr.w ꞽr.t Tbꞽ nḫt(.w) ⸗f nḫt.w ꞽr.t Tbꞽ,wč̣ꜥ Wnꞽś mṭw m mḥ.t wr.t ꞽm.(w)t(ꞽ) ẖnn.w(ꞽ) śk m wśr.w wśr(.w) ⸗f ꞽr.t Tbꞽ nḫt(.w) ⸗f nḫt.w ꞽr.t Tbꞽ,[0] -> [1] -> [11]
ꜣw ꞽb n(.ꞽ) nčr(.w) m Ttꞽ č̣r mꜣꜣ ⸗śn Ttꞽ ꞽ:rnp.y śk śn.(w)t n ꞽꜥ.w Ttꞽ č̣nꞽ.t n mśw.t Ttꞽ,ꜣw ꞽb n(.ꞽ) nčr(.w) m Ttꞽ č̣r mꜣꜣ ⸗śn Ttꞽ ꞽ:rnp.y śk śn.(w)t n ꞽꜥ.w Ttꞽ n mśw.t č̣nꞽ.t Ttꞽ,[0] -> [1] -> [11]
ꜥnḫ Wnꞽś ḥnꜥ kꜣ ⸗f bꜣ ⸗f ḥr ⸗f ꜣmś ⸗f m ꜥ ⸗f ꜥbꜣ ⸗f m č̣r.t ⸗f nhni̯ ⸗f n ⸗f sb(.w) r ⸗ś(n),ꜥnḫ Wnꞽś ḥnꜥ kꜣ ⸗f bꜣ ⸗f ḥr ⸗f m ꜥ ꜣmś ⸗f ⸗f ꜥbꜣ ⸗f m č̣r.t ⸗f nhni̯ ⸗f n ⸗f sb(.w) r ⸗ś(n),[0] -> [1] -> [11]
ꞽw ꞽꜥr.(w)t ⸗f m wp.t ⸗f,ꞽw m wp.t ꞽꜥr.(w)t ⸗f ⸗f,[0] -> [1] -> [11]
č̣(ṭ) mṭw ꞽr.tꞽ ꞽr.tꞽ ś:(w)ꜣ.tꞽ ś:(w)ꜣ.tꞽ rṭ ⸗k ḥꜣ ⸗k sꜣu̯ čw wr wr,č̣(ṭ) mṭw ꞽr.tꞽ ꞽr.tꞽ ś:(w)ꜣ.tꞽ ś:(w)ꜣ.tꞽ ḥꜣ ⸗k rṭ ⸗k sꜣu̯ čw wr wr,[0] -> [1] -> [11]
nꞽ śrḫ.w s.t ꞽr Wnꞽś,nꞽ ꞽr Wnꞽś śrḫ.w s.t,[0] -> [1] -> [11]
